Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of 聽mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Why or why not?,Would you bring up a mental health issue with a potential employer in an interview?,Why or why not?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What country do you work in?,What US state or territory do you work in?
0,26-100,1,1,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,I don't have any physical illnesses that would impact upon my work. ,No,My mental health does not generally affect my work when I am medicated and I do not think discussion of health is appropriate in an interview setting. ,Maybe,Maybe,Somewhat not open,No,,Yes,Yes,Yes,Yes,0,Sometimes,Often,30,Female,United Kingdom,,United Kingdom,
0,100-500,0,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,Maybe,None of them,"Yes, at all of my previous employers",I don't know,I don't know,None of them,Maybe,It depends on whether it would be relevant to the conversation and/or position.,Maybe,"I would ask about its environment for encouraging positive mental health, but if I had a mental health issue I would probably avoid discussing for fear of it affecting my candidacy.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,,No,No,No,No,0,Not applicable to me,Not applicable to me,25,Male,United Kingdom,,United Kingdom,
0,26-100,1,1,No,N/A,No,Yes,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,No,,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,,Yes,No,0,Often,Often,25,Female,United Kingdom,,United Kingdom,
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,1,I know some,"No, because it would impact me negatively",N/A,"Sometimes, if it comes up",I'm not sure,Yes,1-25%,1,Some did,"Yes, I was aware of all of them",None did,Some did,"Yes, always",Maybe,None of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,It is not any of their business in an interview.,No,Not their business,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,1,Sometimes,Often,54,Female,United States of America,Minnesota,United States of America,Minnesota
0,500-1000,1,0,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Would be viewed as detrimental to chance of employment,Yes,Would be viewed as detrimental to chance of employment,Maybe,"No, I don't think they would",Somewhat open,No,N/A,I don't know,No,Yes,Yes,0,Rarely,Rarely,61,Male,United Kingdom,,United Kingdom,
0,More than 1000,1,1,No,No,No,No,I don't know,I don't know,Maybe,Maybe,No,Maybe,I don't know,,,,,,,,,,1,"No, none did","No, I only became aware later",None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,To avoid them making any perception on me which might affect my workflow and progress,No,in fear to loose the interview,Maybe,"Yes, I think they would",Neutral,No,Yes,No,No,No,No,0,Not applicable to me,Not applicable to me,26,male,India,,India,
0,More than 1000,0,1,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,No,I don't know,,,,,,,,,,1,"Yes, they all did",I was aware of some,I don't know,"Yes, they all did",I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Depends on how desperate I am for the job.  I might hold back if I think I can work around my problem.,No,That would definitely be a red flag for hiring.,Maybe,Maybe,Somewhat not open,"Yes, I experienced",,Yes,Yes,Yes,Yes,0,Sometimes,Often,44,Female,United States of America,Ohio,United States of America,Ohio
0,,1,1,No,No,No,No,I don't know,I don't know,Maybe,Maybe,No,Yes,I don't know,,,,,,,,,,0,,,,,,Maybe,Some of them,,I don't know,I don't know,None of them,Maybe,,No,,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,,I don't know,Possibly,Yes,Yes,0,Sometimes,Often,26,male,Portugal,,Portugal,
0,26-100,1,1,Yes,No,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,Yes,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,Because it may interfer with work,Maybe,Because it may interfer with work,Maybe,"Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,Yes,1,Often,Often,26,Female,Portugal,,Portugal,
0,,1,1,I don't know,No,No,I don't know,Yes,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,physical health isn't mandatory for me to do my job as a designer. i'd answer if they asked but wouldn't bring it up on my own.,No,I consider it personal information. ,Maybe,"Yes, I think they would",Somewhat open,No,Yes,I don't know,Possibly,No,Yes,1,Sometimes,Sometimes,35,female,United States of America,Washington,United States of America,Washington
0,26-100,1,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,Concern that it would admit undue bias.,No,Even more fear of undue bias.,Maybe,Maybe,Somewhat open,Maybe/Not sure,,No,No,No,No,0,Not applicable to me,Not applicable to me,45,Male,United States of America,Maryland,United States of America,Maryland
0,26-100,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,"If it was relevant to the job, I would bring it up",No,"Statistically, they are less likely to hire me regardless of job type",Maybe,"Yes, I think they would",Very open,No,,I don't know,Possibly,No,No,1,Not applicable to me,Not applicable to me,23,Male,United States of America,Minnesota,United States of America,Minnesota
0,More than 1000,0,1,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,,,,,,,,,,1,I don't know,N/A (was not aware),I don't know,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,"I would bring it up if I felt it were relevant to the position or would have some impact on my work arrangement (e.g., I have bad knees and would prefer a sit/stand desk option).",Maybe,I feel like there is a stigma around mental health issues and would probably not bring up my own unless I felt it would significantly impact my ability to perform the job.,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,Maybe,No,Don't Know,Don't Know,No,1,Not applicable to me,Not applicable to me,44,Male,United States of America,Ohio,United States of America,Ohio
0,More than 1000,0,1,Yes,No,Yes,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,,No,,Maybe,Maybe,Somewhat open,"Yes, I observed",,I don't know,Yes,Possibly,Yes,0,Rarely,Sometimes,38,male,United States of America,Ohio,United States of America,Ohio
0,500-1000,0,1,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,Yes,Yes,I don't know,No,,,,,,,,,1,Some did,"No, I only became aware later",None did,None did,I don't know,Maybe,"Yes, all of them",At some of my previous employers,I don't know,I don't know,None of them,Maybe,I would fear being excluded because of it. Legal or not. ,No,Same reason...fear of being knocked out of the running. ,Maybe,"Yes, I think they would",Not open at all,Maybe/Not sure,,Yes,Yes,No,Yes,0,Rarely,Often,46,Male,United States of America,Ohio,United States of America,Ohio
0,500-1000,0,1,Yes,No,Yes,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Only if it would require a special accomodation,No,I'm afraid of discrimination,Maybe,"No, I don't think they would",Very open,Maybe/Not sure,,I don't know,Yes,Yes,Yes,1,Sometimes,Often,27,Nonbinary,United States of America,Ohio,United States of America,Ohio
0,100-500,0,1,Yes,Yes,I don't know,Yes,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Privacy issues,No,Privacy issues,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",,Yes,Yes,Yes,Yes,0,Rarely,Often,39,female,United States of America,Ohio,United States of America,Ohio
0,26-100,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,Some did,"Yes, I was aware of all of them",Some did,"Yes, they all did","Yes, always",Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,If it affected my attendance or my needs at work I would need to let them know,No,It?? stigmatized and says something about you as a person ,Maybe,"No, I don't think they would",Somewhat open,"Yes, I experienced",,Yes,Yes,Possibly,Yes,0,Sometimes,Often,33,Female ,United States of America,Montana,United States of America,Montana
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,,1,"Yes, I know several","Sometimes, if it comes up",Negatively,"Sometimes, if it comes up",No change,Yes,1-25%,1,Some did,"No, I only became aware later",None did,None did,No,Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,Fear of discrimination,No,fear of discrimination,Maybe,"Yes, I think they would",Somewhat open,No,Yes,Yes,Yes,Yes,Yes,0,Sometimes,Often,38,female,United States of America,Colorado,United States of America,Colorado
0,26-100,0,1,Not eligible for coverage / NA,N/A,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,0,,,,,,Maybe,Some of them,,I don't know,I don't know,None of them,Maybe,"Wouldn?_ want it used as a reason not to be offered the job, irrespective of whether it?_ ?_legal??or not, health issues are barriers for employers.",No,"Again, I wouldn?? want it used as a reason not to offer me the job. Whilst it may not be publicly stated, what sort of employer want want employees with mental health issues on payroll?",Maybe,"No, I don't think they would",Somewhat open,Maybe/Not sure,,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,United Kingdom,,United Kingdom,
0,More than 1000,1,1,No,No,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,My experience is they don't care.,No,Generally people don't know so much about the topic and scared about what they don't know. And also is not comfortable or encouraging to open up in this environment.,Maybe,Maybe,Neutral,"Yes, I experienced",,No,Possibly,Yes,Yes,0,Sometimes,Rarely,32,male,Czech Republic,,Germany,
0,More than 1000,1,1,Yes,Yes,I don't know,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,A bit too personal for an interview. I'm afraid it might screw up my chances.,No,I don't want it to affect their decision to whether to hire me or not.,Maybe,"No, I don't think they would",Very open,"Yes, I observed",,I don't know,Possibly,Yes,No,1,Rarely,Often,26,Female,United States of America,California,United States of America,California
0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,"Theoretically, ADA and other laws would prevent discrimination.",No,Most potential employers do not understand that they are discriminating when put off by mental health issues.,Maybe,Maybe,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,Yes,0,Rarely,Often,50,Male,United States of America,Pennsylvania,United States of America,Pennsylvania
0,100-500,1,1,I don't know,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Yes,Yes,I don't know,Yes,,,,,,,,,1,I don't know,N/A (was not aware),Some did,Some did,I don't know,Maybe,"Yes, all of them",At some of my previous employers,I don't know,I don't know,Some of them,Maybe,"I don't have physical health issues, so I'm not sure whether I'd volunteer that. I probably wouldn't though; it seems disadvantageous to state something that would either make my interviewer uncomfortable or worse, biased against/toward me.",No,My mental health concern is severe enough (but harmless as it has been treated for 10+ years) that  it would likely scare them.,Maybe,Maybe,Somewhat not open,No,Yes,Yes,Yes,Yes,Yes,0,Rarely,Not applicable to me,31,Male,United States of America,Utah,United States of America,California
0,More than 1000,1,1,I don't know,No,Yes,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,,,,,,,,,,0,,,,,,Maybe,Some of them,,I don't know,I don't know,None of them,Maybe,"I might end up discussing a physical health issue in an interview because they could become harder to hide or, more likely, not manageable if not openly acknowledged.",No,"It's between 'Maybe' and 'No'. Compared to physical health issues, I would be much more worried about bringing up a mental health issue. I'm afraid that I might have to.",Maybe,Maybe,Somewhat not open,No,Yes,Yes,No,Don't Know,No,1,Not applicable to me,Not applicable to me,46,Male,Romania,,Romania,
0,26-100,1,1,Yes,No,No,No,Yes,I don't know,Maybe,Maybe,Maybe,No,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,Some did,No,Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,It would depend on whether or not it had an impact on my ability to do the job,No,I would conceal it for fear of stigma impacting my ability to get a job there,Maybe,"No, I don't think they would",Somewhat open,No,,Yes,Yes,Yes,Yes,0,Rarely,Often,30,Male,United States of America,California,United States of America,California
0,More than 1000,1,1,Yes,No,No,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,,,,,,,,,,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Maybe,None of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,I would be worried it would effect my ability to be hired.,No,I would be worried that it would negatively effect my chances of being hired.,Maybe,Maybe,Very open,No,No,I don't know,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United States of America,Minnesota,United States of America,Minnesota
0,100-500,1,1,No,No,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,"No, none did",I was aware of some,None did,Some did,Sometimes,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,Maybe,,Maybe,Maybe,Somewhat not open,"Yes, I observed",N/A,No,Yes,Yes,Yes,0,Rarely,Often,34,male,Germany,,Germany,
0,More than 1000,0,0,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Wouldn't want it to affect my chances of getting the job,No,Believe it would affect my chances of getting the job and cause the employer to have less trust in my reliability ,Maybe,Maybe,Somewhat open,Maybe/Not sure,,No,No,No,No,0,Not applicable to me,Not applicable to me,42,Male,United Kingdom,,United Kingdom,
0,More than 1000,1,1,Yes,Yes,Yes,Yes,No,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Depends if it's relevant to the job.,No,It's irrelevant to the scope of my job. Also disability laws don't protect you until you're hired.,Maybe,"Yes, they do",Neutral,"Yes, I experienced",No,Yes,Yes,Yes,Yes,1,Sometimes,Often,24,Female,United States of America,Washington,United States of America,Washington
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,,1,I know some,"No, because it would impact me negatively",Negatively,"No, because it would impact me negatively",Negatively,Yes,26-50%,1,Some did,"Yes, I was aware of all of them",Some did,Some did,Sometimes,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,,No,"There is a pervasive view in the technology community that it is always possible to find a competent engineer with the productivity ""positives"" without mental illness ""negatives""; if you highlight that you suffer from mental illness, it will throw you to the bottom of the candidate pile, but nobody will ever tell you that upfront.",Maybe,"No, they do not",Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,Yes,1,Sometimes,Often,30,Male,United States of America,Texas,United States of America,Texas
0,26-100,1,1,Yes,Yes,Yes,I don't know,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,,,,,,,,,0,,,,,,Maybe,,,I don't know,I don't know,,Maybe,,Maybe,,Maybe,"No, I don't think they would",Very open,No,,I don't know,Don't Know,Don't Know,No,1,Not applicable to me,Not applicable to me,23,Male,Canada,,Canada,
0,100-500,1,1,Yes,Yes,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,No,,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Rarely,Often,31,female,United States of America,California,United States of America,California
0,26-100,1,1,No,No,No,No,I don't know,I don't know,Maybe,Maybe,Maybe,No,I don't know,No,,,,,,,,,1,"No, none did",N/A (none offered),None did,None did,I don't know,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,No,\-,Maybe,"Yes, I think they would",Somewhat not open,Maybe/Not sure,,I don't know,No,Possibly,No,1,Rarely,Sometimes,31,male,Finland,,Finland,
0,100-500,1,1,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,,,,,,,,,1,I don't know,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,I wouldn't bring it up unless I required reasonable accommodation to do my job.,Maybe,I wouldn't bring up a mental health issue unless I required reasonable accommodation to do my job.,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,Yes,0,Sometimes,Often,27,Woman,United States of America,Illinois,United States of America,Illinois
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,Yes,0,"No, I don't know any","No, because it doesn't matter",Negatively,"No, because it doesn't matter",Negatively,Unsure,,1,Some did,"No, I only became aware later",None did,None did,No,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,,No,,Maybe,"Yes, I think they would",Not open at all,No,Yes,No,Possibly,No,No,0,Not applicable to me,Not applicable to me,26,Male,Pakistan,,Pakistan,
0,500-1000,0,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,No,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,"My main physical issue is Traumatic Brain Injury (TBI), which has as much or more stigma associated with it than mental health problems.  Particularly when going to work with very smart people.  It affects communications, word recall, and headaches.",No,It is an excellent way to not be considered for the position.,Maybe,Maybe,Somewhat open,"Yes, I observed",,Yes,No,No,No,1,Not applicable to me,Not applicable to me,52,Female,United States of America,Washington,United States of America,Washington
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,0,"No, I don't know any",Not applicable to me,N/A,"Sometimes, if it comes up",Not applicable to me,Yes,76-100%,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,I had,Yes,It's important,Maybe,Maybe,Somewhat open,Maybe/Not sure,,No,No,Don't Know,No,1,Not applicable to me,Not applicable to me,28,Male,Belgium,,Portugal,
0,,1,1,No,No,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,I don't know,N/A (none offered),None did,None did,No,Maybe,None of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Maybe,It might disqualify me from the position. Even if I was told because it was for another reason. ,No,Fear of not being considered qualified for the position. ,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,I don't know,Don't Know,Possibly,No,0,Rarely,Often,37,male,United States of America,Oregon,United States of America,Oregon
0,500-1000,0,1,No,N/A,Yes,Yes,No,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,0,,,,,,Maybe,Some of them,,I don't know,I don't know,None of them,Maybe,,Maybe,,Maybe,"No, I don't think they would",Somewhat open,No,,No,Possibly,No,No,0,Not applicable to me,Not applicable to me,37,male,Canada,,Canada,
0,More than 1000,0,1,Yes,Yes,No,No,Yes,I don't know,Maybe,Maybe,Yes,Yes,I don't know,,,,,,,,,,1,Some did,N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,Its not what I'm thinking about in an interview.,No,The stigma is great in America about mental illnesses.  Most people will label you as crazy and a potential problem and you wouldn't get the job.,Maybe,Maybe,Somewhat open,No,Yes,Yes,Yes,Yes,Yes,0,Rarely,Often,38,Male,United States of America,Oregon,United States of America,California
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,No,1,"Yes, I know several","No, because it doesn't matter",N/A,"Sometimes, if it comes up",Positively,Yes,26-50%,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,,No,Fear of discrimination. ,Maybe,Maybe,Somewhat open,No,,Yes,Yes,Yes,Yes,1,Sometimes,Often,57,Female,United States of America,Maryland,United States of America,Maryland
0,More than 1000,1,1,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Yes,I don't know,No,,,,,,,,,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,Some of them,Maybe,"My line of work isn't physically demanding. For the physical problems that may get it the way, I think I know of many accommodations for disability, permanent or temporary. I have mostly worked from home, so I have control over my physical environment.",No,It's treated and unlikely to affect work.,Maybe,"Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,,Yes,No,Yes,Yes,0,Rarely,Sometimes,34,Male,United States of America,New York,United States of America,New York
0,More than 1000,1,1,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,No,Maybe,,"No, at none of my previous employers",I don't know,I don't know,,Maybe,I think it could be counterproductive,No,I can be counterproductive,Maybe,Maybe,Very open,"Yes, I observed",,Yes,Possibly,No,Yes,1,Rarely,Sometimes,38,female,Germany,,Germany,
0,26-100,1,1,I don't know,No,No,I don't know,Yes,I don't know,Maybe,Maybe,Maybe,Maybe,I don't know,No,,,,,,,,,1,Some did,I was aware of some,None did,None did,I don't know,Maybe,None of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,It would depend on how obvious it was or how likely it would be to view as a detriment to my potential work,No,I would never be hired,Maybe,Maybe,Somewhat open,"Yes, I observed",,I don't know,No,Possibly,Yes,0,Rarely,Sometimes,30,Male,United States of America,Oregon,United States of America,Oregon
0,More than 1000,0,1,Yes,Yes,Yes,I don't know,Yes,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,1,"Yes, they all did",I was aware of some,Some did,None did,Sometimes,Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,Lower marketability,No,Lower Marketability,Maybe,"Yes, I think they would",Somewhat open,No,,No,Don't Know,Possibly,No,0,Rarely,Rarely,52,Male,United States of America,Georgia,United States of America,Georgia
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,Yes,1,"Yes, I know several","No, because it would impact me negatively",N/A,"No, because it would impact me negatively",Not applicable to me,Yes,26-50%,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,Maybe,,At some of my previous employers,I don't know,I don't know,,Maybe,,No,,Maybe,Maybe,Somewhat open,No,Maybe,No,Yes,Yes,Yes,0,Sometimes,Often,31,Female,United States of America,California,United States of America,California
1,,,,,,,,,I don't know,Maybe,Maybe,,,I don't know,,1,"No, I don't know any",Not applicable to me,N/A,Not applicable to me,Not applicable to me,Yes,1-25%,1,"Yes, they all did","No, I only became aware later",Some did,Some did,"Yes, always",Maybe,Some of them,At some of my previous employers,I don't know,I don't know,None of them,Maybe,,Yes,,Maybe,"Yes, I think they would",Somewhat open,"Yes, I observed",N/A,I don't know,Possibly,No,No,1,Not applicable to me,Not applicable to me,29,Male,Germany,,Germany,
0,,1,1,I don't know,No,No,No,I don't know,I don't know,Maybe,Maybe,No,No,I don't know,No,,,,,,,,,0,,,,,,Maybe,None of them,,I don't know,I don't know,None of them,Maybe,Will not get job,No,Will not get job,Maybe,Maybe,Somewhat open,No,No,Yes,No,Don't Know,No,1,Not applicable to me,Not applicable to me,26,Female,United Kingdom,,United Kingdom,
